id_rh,anio,vmae,vaeas,dma,p,prec,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas
3,2017,288.932,16.263,243.776,243.89580750316028,247,B.C. Suroeste,29722,200,356.070204710457,0,356.070204710457,15
3,2018,288.932,16.263,243.776,243.89580750316028,298.63,B.C. Suroeste,29722,200.13,356.070204710457,0,356.070204710457,15
3,2019,288.932,16.263,243.776,243.89580750316028,189.369113111723,B.C. Suroeste,29722,200,356.070204710457,0,356.070204710457,15
3,2020,312.696,16.613,264.817,266.8542368059687,181.350594924653,NA,NA,NA,NA,0,NA,NA
3,2021,299.21398167250425,16.613,NA,253.53202334312746,183.26252625913,NA,NA,NA,NA,0,NA,NA
3,2022,298.6471232878046,16.613,NA,252.97188403603505,182.570716092675,NA,NA,NA,NA,0,NA,NA
3,2023,298.8470104999709,16.613,NA,253.16940194798897,182.805774057683,NA,NA,NA,NA,0,NA,NA
4,2005,105.149,0.357,94.276,94.27901093475639,134.0426,NA,NA,NA,NA,0,NA,NA
4,2006,105.149,0.357,94.276,94.27901093475639,74.025575,B.C. Noreste,14418,203.5933402,105.1,0,105.1,0
4,2007,105.149,0.357,94.276,94.27901093475639,146.9458,B.C. Noreste,14418,180.7413333,105.1,0,105.1,8
4,2008,105.149,0.357,94.276,94.27901093475639,239.9843,B.C. Noreste,14418,190.35057505,105.1,0,105.1,8
4,2009,105.149,0.357,94.276,94.27901093475639,160.73895,B.C. Noreste,14418,190,105.1,0,105.1,8
4,2010,105.149,0.357,94.276,94.27901093475639,183.1712,B.C. Noreste,14418,190,105.149,0,105.149,8
4,2011,121.862,0.31908333333333333,109.395,109.36360642685769,158.20505475000002,B.C. Noreste,14418,150.63,122,0,122,8
4,2012,121.862,0.31908333333333333,109.395,109.36360642685769,144.881281,B.C. Noreste,14418,150.63,121.9,0,121.9,8
4,2013,121.862,0.28,109.395,109.3985103640968,254.24,B.C. Noreste,14418,150.63,121.86,0,121.86,8
4,2014,121.862,0.28,109.395,109.3985103640968,118.75,B.C. Noreste,14418,150.63,121.9,0,121.9,8
4,2015,121.862,0.28,109.395,109.3985103640968,144.05,B.C. Noreste,14418,150.63,121.9,0,121.9,8
4,2016,122.27,0.313,109.732,109.73645976197457,190.07999999999998,B.C. Noreste,14418,151,122.271235789017,0,122.271235789017,8
4,2017,122.26999999999998,0.313,109.732,109.73645976197456,117.375,B.C. Noreste,14418,151,122.271235789017,0,122.271235789017,8
4,2018,122.27000000000001,0.313,109.732,109.73645976197459,117.9675,B.C. Noreste,14418,150.63,122.271235789017,0,122.271235789017,8
4,2019,122.27,0.313,109.732,109.73645976197457,89.84436756596925,B.C. Noreste,14418,151,122.271235789017,0,122.271235789017,8
4,2020,139.882,0.309,125.584,125.60035139755647,89.01478169397087,NA,NA,NA,NA,0,NA,NA
4,2021,130.31728849858217,0.309,NA,116.98694126996087,89.01151465421353,NA,NA,NA,NA,0,NA,NA
4,2022,130.24321592092065,0.309,NA,116.92023591345196,89.01140808766846,NA,NA,NA,NA,0,NA,NA
4,2023,130.2656927051061,0.309,NA,116.94047716803763,89.01140646319632,NA,NA,NA,NA,0,NA,NA
5,2005,53.454,1.535,46.576,46.57396849391794,123.7305,NA,NA,NA,NA,0,NA,NA
5,2006,53.454,1.535,46.576,46.57396849391794,186.6912,B.C. Centro-Este,13626,192.5375147,53.5,0,53.5,0
5,2007,53.454,1.535,46.576,46.57396849391794,258.18225,B.C. Centro-Este,13626,100.4775667,53.5,0,53.5,15
