CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
GUAMC,"GUARACHA, MICH.",1994-2016,,JIQUILPAN,MICHOAC¡N †DE OCAMPO,LERMA-SANTIAGO-PACÕFICO,RÕO LERMA 7,,,,,,,,,,,,,19.9,-102.7
GVCDR,"GUADALUPE VICTORIA, DGO.",1994-2016,,DURANGO,DURANGO,PACÕFICO NORTE,RÕO DURANGO,,,,,,,,,,,,,24.01,-104.76
HUECP,"HUEHUET¡N, CHIS.","1995-2006, 2008-2011, 2015-2016",,TAPACHULA,CHIAPAS,FRONTERA SUR,CAHOAC¡N,,,,,,,,,,,,,14.9,-92.26
IALGJ,"IGNACIO ALLENDE, GTO.",1994-2016,,SAN MIGUEL DE ALLENDE,GUANAJUATO,LERMA-SANTIAGO-PACÕFICO,RÕO LA LAJA 1,,,,,,,,,,,,,20.83,-100.82
IDFQT,"SAN IDELFONSO, QRO.",1994-2016,,ACULCO,M…XICO,VALLE DE M…XICO,RÕO SAN JUAN 1,,,,,,,,,,,,,20.25,-99.97
JCQAG,"JOCOQUE, AGS.",1994-2016,,SAN JOS… DE GRACIA,AGUASCALIENTES,LERMA-SANTIAGO-PACÕFICO,RÕO SAN PEDRO,,,,,,,,,,,,,22.14,-102.38
LBQCH,"LA BOQUILLA, CHIH.",1994-2016,,SAN FRANCISCO DE CONCHOS,CHIHUAHUA,RÕO BRAVO,RÕO CONCHOS 3,,,,,,,,,,,,,27.57,-105.43
LDCJL,"LAGO DE CHAPALA, JAL.",1994-2016,,CHAPALA,JALISCO,LERMA-SANTIAGO-PACÕFICO,RÕO LERMA 7,,,,,,,,,,,,,20.3,-103.2
LPSCM,"LA POSTA, COL.",1994-2016,,VILLA DE ¡LVAREZ,COLIMA,LERMA-SANTIAGO-PACÕFICO,ARMERÕA,,,,,,,,,,,,,19.26,-103.77
LVNDF,"LA VENTA, D.F.",1994-2016,,HUIXQUILUCAN,M…XICO,VALLE DE M…XICO,CIUDAD DE M…XICO,,,,,,,,,,,,,19.38,-99.3
