CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
8153,VALLE DE ZARAGOZA (DGE),1971-2013,,VALLE DE ZARAGOZA,CHIHUAHUA,RIO BRAVO,RÕO †CONCHOS 1,RIO CONCHOS-VALLE DE ZARAGOZA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,27,27,16,105,48,25,1350,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO CONCHOS 1",27.454444,-105.806944
8156,VILLA CORONADO,1964-2013,,CORONADO,CHIHUAHUA,RIO BRAVO,RÕO †FLORIDO 3,RIO FLORIDO-JIMENEZ,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,26,44,19,105,9,36,1516,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO FLORIDO 3",26.738611,-105.16
8161,BATOPILAS I (DGE),1961-1982,,BATOPILAS,CHIHUAHUA,PACIFICO NORTE,RÕO †FUERTE 1,RIO VERDE,CLIMATOLOGICA,CONAGUA-DGE,SUSPENDIDA,27,0,0,107,45,0,570,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO FUERTE 1",27,-107.75
8162,CAMARGO (DGE),1986-2013,,CAMARGO,CHIHUAHUA,CUENCAS CENTRALES DEL NORTE,RÕO †CONCHOS 3,RIO FLORIDO-CAMARGO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,27,42,0,105,11,0,1250,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO CONCHOS 3",27.7,-105.183333
8165,CHIHUAHUA,"1972-1984, 1987-1990, 1993, 2000-2013",,CHIHUAHUA,CHIHUAHUA,RIO BRAVO,RÕO †SAN PEDRO,RIO CHUVISCAR,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,28,38,0,106,5,0,1428,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO",28.633333,-106.083333
8167,CHINIPAS (DGE),"1951, 1965-2012",,CHINIPAS,CHIHUAHUA,PACIFICO NORTE,RÕO †FUERTE 1,RIO OTEROS,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,27,23,35,108,32,10,440,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO FUERTE 1",27.393056,-108.536111
8172,GUADALUPE Y CALVO (DGE),"1942-1943, 1946-1947, 1961-2012",,GUADALUPE Y CALVO,CHIHUAHUA,PACIFICO NORTE,RÕO †FUERTE 1,RIO LOERA,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,26,6,30,106,58,30,2279,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO FUERTE 1",26.108333,-106.975
8184,NUEVO CASAS GRANDES (SMN),"1943-1977, 1980-1987",,NUEVO CASAS GRANDES,CHIHUAHUA,RIO BRAVO,RÕO †CASAS GRANDES 1,RIO CASAS GRANDES,CLIMATOLOGICA,CONAGUA-DGE,SUSPENDIDA,30,24,48,107,54,45,1460,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO CASAS GRANDES 1",30.413333,-107.9125
8192,URIQUE II (SMN),"1969-1987, 1994-2012",,URIQUE,CHIHUAHUA,PACIFICO NORTE,RÕO †FUERTE 1,RIO URIQUE,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,27,10,0,107,55,0,763,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO FUERTE 1",27.166667,-107.916667
8202,PRESA FRANCISCO I. MADERO,1944-2012,,ROSALES,CHIHUAHUA,RIO BRAVO,RÕO †CONCHOS 2,RIO MEOQUI,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,28,10,2,105,37,39,1242,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO CONCHOS 2",28.167222,-105.6275
8213,JUAREZ (DGE),1986-2013,,JUAREZ,CHIHUAHUA,RIO BRAVO,RÕO †BRAVO 1,RIO BRAVO-CIUDAD JUAREZ,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,31,44,11,106,29,11,1135,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO BRAVO 1",31.736389,-106.486389
8219,PE—ITAS,1920-2012,,MADERA,CHIHUAHUA,NOROESTE,RÕO †YAQUI 1,RIO PAPIGOCHIC O AROS,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,29,15,7,108,5,34,2135,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO YAQUI 1",29.251944,-108.092778
8266,BATOVIRA,"1975-1985, 1994-2012",,MAGUARICHI,CHIHUAHUA,PACIFICO NORTE,RÕO †FUERTE 1,RIO OTEROS,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,27,55,5,107,54,15,2160,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO FUERTE 1",27.918056,-107.904167
8270,LA MESA,1920-2012,,ALDAMA,CHIHUAHUA,RIO BRAVO,RÕO †SAN PEDRO,RIO CHUVISCAR,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,28,46,24,105,57,49,1250,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO",28.773333,-105.963611
8283,JUAREZ (CILA),1959-1960,,JUAREZ,CHIHUAHUA,RIO BRAVO,RÕO †BRAVO 1,RIO BRAVO-CIUDAD JUAREZ,CLIMATOLOGICA,CILA,SUSPENDIDA,31,44,12,106,24,1,1120,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO BRAVO 1",31.736667,-106.400278
8326,PRESA ABRAHAM GONZALEZ,1981-2012,,GUERRERO,CHIHUAHUA,NOROESTE,RÕO †YAQUI 1,RIO PAPIGOCHIC O AROS,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,28,30,5,107,28,12,2000,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO YAQUI 1",28.501389,-107.47
8332,LAS LAJAS,"1983-1987, 1990-2013",,BUENAVENTURA,CHIHUAHUA,RIO BRAVO,RÕO †DEL CARMEN 2,RIO DEL CARMEN,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,30,3,17,106,54,25,1450,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO DEL CARMEN 2",30.054722,-106.906944
8341,BATOPILAS II (DGE),1983-2012,,BATOPILAS,CHIHUAHUA,PACIFICO NORTE,RÕO †FUERTE 1,RIO SAN MIGUEL,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,27,1,36,107,44,22,570,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO FUERTE 1",27.026667,-107.739444
8352,BASASEACHIC,1983-2007,,OCAMPO,CHIHUAHUA,NOROESTE,RÕO †MAYO 1,RIO CANDAME—A,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,28,10,58,108,12,50,2000,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO MAYO 1",28.182778,-108.213889
8353,YEPACHIC,1992-2007,,TEMOSACHIC,CHIHUAHUA,NOROESTE,RÕO †YAQUI 1,RIO MULATOS,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,28,25,18,108,25,18,1790,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO YAQUI 1",28.421667,-108.421667
9020,DESVIACION ALTA AL PEDREGAL,"1952-2008, 2010-2015",,TLALPAN,DISTRITO FEDERAL,AGUAS DEL VALLE DE MEXICO,XOCHIMILCO,LAGO DE TEXCOCO Y ZUMPANGO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,19,17,49,99,10,56,2296,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO XOCHIMILCO",19.296944,-99.182222
9029,GRAN CANAL KM. 06+250,"1952-2008, 2010-2015",,GUSTAVO A. MADERO,DISTRITO FEDERAL,AGUAS DEL VALLE DE MEXICO,CUIDAD DE MEXICO,LAGO DE TEXCOCO Y ZUMPANGO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,19,28,36,99,5,29,2239,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO CUIDAD DE MEXICO",19.476667,-99.091389
9032,MILPA ALTA,"1929-1932, 1941-1945, 1955-1990, 1992-1998, 2002-2008, 2010-2015",,MILPA ALTA,DISTRITO FEDERAL,AGUAS DEL VALLE DE MEXICO,RÕO †LA COMPANIA,LAGO DE TEXCOCO Y ZUMPANGO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,19,11,26,99,1,19,2420,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO LA COMPANIA",19.190556,-99.021944
9043,SAN JUAN DE ARAGON,"1953-1988, 1991-2008, 2010-2015",,GUSTAVO A. MADERO,DISTRITO FEDERAL,AGUAS DEL VALLE DE MEXICO,CUIDAD DE MEXICO,LAGO DE TEXCOCO Y ZUMPANGO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,19,27,55,99,4,45,2240,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO CUIDAD DE MEXICO",19.465278,-99.079167
10004,CA—ON FERNANDEZ,"1944-1949, 1951, 1963-2007, 2009",,CUENCAME,DURANGO,CUENCAS CENTRALES DEL NORTE,PRESA FRANCISCO ZARCO,PRESA FRANCISCO ZARCO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,15,55,103,46,25,1200,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA FRANCISCO ZARCO",25.265278,-103.773611
10005,CEBALLOS,"1956-1988, 1990-2009",,MAPIMI,DURANGO,CUENCAS CENTRALES DEL NORTE,ARROYO LA INDIA - LAGUNA PALOMAS,ARROYO LA INDIA-ARROYO CERRO GORDO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,26,19,26,104,21,4,1188,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO ARROYO LA INDIA - LAGUNA PALOMAS",26.323889,-104.351111
10012,CUENCAME,1948-2009,,CUENCAME,DURANGO,CUENCAS CENTRALES DEL NORTE,PRESA FRANCISCO ZARCO,RIO DEL PE—ON,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,24,52,10,103,41,54,1600,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA FRANCISCO ZARCO",24.869444,-103.698333
10018,EL CANTIL,"1953-1992, 1995, 1997-1998, 2001-2016",,SANTIAGO PAPASQUIARO,DURANGO,CUENCAS CENTRALES DEL NORTE,RÕO †SAN LORENZO 1,RIO Q. DE SAN GREGORIO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,24,56,40,106,15,33,2240,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN LORENZO 1",24.944444,-106.259167
10020,EL DERRAME,1966-2009,,HIDALGO,DURANGO,CUENCAS CENTRALES DEL NORTE,ARROYO LA INDIA - LAGUNA PALOMAS,ARROYO LA INDIA-ARROYO CERRO GORDO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,26,13,52,104,29,54,1300,"TENÕA ERR”NEO EL NOMBRE DEL MUNICIPIO, SIENDO EL CORRECTO HIDALGO; TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO ARROYO LA INDIA - LAGUNA PALOMAS",26.231111,-104.498333
10021,EL PALMITO,1938-2009,,INDE,DURANGO,CUENCAS CENTRALES DEL NORTE,AGUSTIN MELGAR,RIO NAZAS-RODEO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,36,52,105,0,13,1538,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO AGUSTIN MELGAR",25.614444,-105.003611
10023,EL PUEBLITO,"1963-2010, 2012-2014",,DURANGO,DURANGO,PACIFICO NORTE,RÕO †DURANGO,RIO DURANGO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,23,57,52,104,44,6,1900,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO DURANGO",23.964444,-104.735
10025,EL SALTO (SMN),"1922-1937, 1941-1949, 1952-1987",,PUEBLO NUEVO,DURANGO,PACIFICO NORTE,RÕO †PRESIDIO 1,ARROYO EL SALTO,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,23,47,0,105,22,0,2560,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO PRESIDIO 1",23.783333,-105.366667
10026,EL TARAHUMAR,1964-2009,,TEPEHUANES,DURANGO,CUENCAS CENTRALES DEL NORTE,RÕO †HUMAYA,RIO COLORADO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,37,1,106,19,28,2534,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO HUMAYA",25.616944,-106.324444
10027,FRANCISCO I. MADERO,"1932-1935, 1937-2006",,PANUCO DE CORONADO,DURANGO,PACIFICO NORTE,LA TAPONA,RIO DURANGO,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,24,24,2,104,19,8,1960,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO LA TAPONA",24.400556,-104.318889
10028,EL CUARTO,"1948-1957, 1959-2009",,SAN JUAN DEL RIO,DURANGO,CUENCAS CENTRALES DEL NORTE,AGUSTIN MELGAR,RIO DE SAN JUAN,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,24,56,42,104,28,51,1540,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO AGUSTIN MELGAR",24.945,-104.480833
10029,GUANACEVI (SMN),1922-2009,,GUANACEVI,DURANGO,CUENCAS CENTRALES DEL NORTE,RÕO †SEXTIN,RIO DEL ORO DE SEXTIN-RIO ZAPE,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,25,55,59,105,57,6,2099,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SEXTIN",25.933056,-105.951667
10030,GUADALUPE VICTORIA †(DGE),"1963-2010, 2012-2014",,GUADALUPE VICTORIA,DURANGO,PACIFICO NORTE,LA TAPONA,RIO DURANGO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,24,26,46,104,7,20,2000,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO LA TAPONA",24.446111,-104.122222
10035,J. SALOME ACOSTA,"1969-1983, 1986-2009",,SANTIAGO PAPASQUIARO,DURANGO,CUENCAS CENTRALES DEL NORTE,RÕO †RAMOS,RIO RAMOS,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,13,14,105,26,56,1670,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO RAMOS",25.220556,-105.448889
10040,LAS BAYAS,"1963-2010, 2012-2014",,DURANGO,DURANGO,PACIFICO NORTE,RÕO †EL TUNAL,ARROYO LA CADENA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,23,30,16,104,49,28,2643,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO EL TUNAL",23.504444,-104.824444
10045,MAPIMI,1963-2012,,MAPIMI,DURANGO,CUENCAS CENTRALES DEL NORTE,CANAL SANTA ROSA,RIO NAZAS-CANAL SANTA ROSA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,49,56,103,50,48,1388,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO CANAL SANTA ROSA",25.832222,-103.846667
10047,NARCISO MENDOZA,"1963-2010, 2012-2014",,POANAS,DURANGO,PACIFICO NORTE,RÕO †SAN PEDRO-MEZQUITAL,RIO MEZQUITAL,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,23,56,32,103,57,36,2063,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO-MEZQUITAL",23.942222,-103.96
10049,NAZAS,1965-2013,,NAZAS,DURANGO,CUENCAS CENTRALES DEL NORTE,AGUSTIN MELGAR,RIO NAZAS-RODEO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,13,48,104,6,24,1250,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO AGUSTIN MELGAR",25.23,-104.106667
10054,PE—A DEL AGUILA,"1963-2010, 2012-2014",,DURANGO,DURANGO,PACIFICO NORTE,RÕO †LA SAUCEDA,RIO DURANGO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,24,12,19,104,39,29,1890,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO LA SAUCEDA",24.205278,-104.658056
10055,PEDRICE—A,"1942-1963, 1967-1972, 1975-2005, 2007-2009",,CUENCAME,DURANGO,CUENCAS CENTRALES DEL NORTE,PRESA FRANCISCO ZARCO,ARROYO CUENCAME,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,25,6,56,103,47,18,1310,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA FRANCISCO ZARCO",25.115556,-103.788333
10057,PRESA SANTA ELENA,1970-2010,,SUCHIL,DURANGO,PACIFICO NORTE,RÕO †GRASEROS,RIO GRASEROS,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,23,37,31,104,3,20,1913,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO GRASEROS",23.625278,-104.055556
10063,SAN BARTOLO,"1942-1987, 1989-2010, 2012-2014",,CANATLAN,DURANGO,PACIFICO NORTE,RÕO †LA SAUCEDA,RIO SAUCEDA,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,24,31,37,104,39,20,2000,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO LA SAUCEDA",24.526944,-104.655556
10068,SAN JUAN DEL RIO,"1926-1993, 1996-2009",,SAN JUAN DEL RIO,DURANGO,CUENCAS CENTRALES DEL NORTE,AGUSTIN MELGAR,RIO DE SAN JUAN,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,24,47,59,104,23,43,1700,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO AGUSTIN MELGAR",24.799722,-104.395278
10070,SAN MARCOS,1942-2006,,SANTA CLARA,DURANGO,CUENCAS CENTRALES DEL NORTE,PRESA LA FLOR,RIO DE SANTIAGO,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,24,17,40,103,32,34,2000,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA LA FLOR",24.294444,-103.542778
10072,SAN PEDRO DEL GALLO (SMN),1944-2012,,SAN PEDRO DEL GALLO,DURANGO,CUENCAS CENTRALES DEL NORTE,AGUSTIN MELGAR,ARROYO LA NAITCHA,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,25,34,2,104,17,30,1700,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO AGUSTIN MELGAR",25.567222,-104.291667
10074,SANTA CLARA,1963-2009,,SANTA CLARA,DURANGO,CUENCAS CENTRALES DEL NORTE,PRESA LA FLOR,RIO DE SANTIAGO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,24,28,9,103,21,11,1800,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA LA FLOR",24.469167,-103.353056
10075,SANTA MARIA DEL ORO,"1967-1997, 1999-2009",,EL ORO,DURANGO,CUENCAS CENTRALES DEL NORTE,PRESA LAZARO CARDENAS,RIO DEL ORO DE SEXTIN,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,57,12,105,22,0,1700,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA LAZARO CARDENAS",25.953333,-105.366667
10076,SANTIAGO BAYACORA,"1963-2010, 2012-2014",,DURANGO,DURANGO,PACIFICO NORTE,RÕO †SANTIAGO BAYACORA,RIO DE SANTIAGO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,23,53,56,104,36,16,1900,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SANTIAGO BAYACORA",23.898889,-104.604444
10078,SARDINAS,1970-2009,,SAN BERNARDO,DURANGO,CUENCAS CENTRALES DEL NORTE,PRESA LAZARO CARDENAS,RIO DEL ORO DE SEXTIN,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,26,5,3,105,33,57,1639,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA LAZARO CARDENAS",26.084167,-105.565833
10082,TAMAZULA DE VICTORIA,"1947-1950, 1952-1992, 1994-2000, 2005-2016",,TAMAZULA,DURANGO,PACIFICO NORTE,RÕO †TAMAZULA,RIO TAMAZULA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,24,56,10,106,58,30,250,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO TAMAZULA",24.936111,-106.975
10085,TLAHUALILO,1963-2008,,TLAHUALILO,DURANGO,CUENCAS CENTRALES DEL NORTE,CANAL SANTA ROSA,RIO NAZAS-CANAL SANTA ROSA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,26,6,23,103,26,34,1100,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO CANAL SANTA ROSA",26.106389,-103.442778
10087,VASCOGIL,"1967-1998, 2002-2016",,CANELAS,DURANGO,PACIFICO NORTE,RÕO †HUMAYA,RIO HUMAYA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,7,45,106,21,45,2400,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO HUMAYA",25.129167,-106.3625
10088,VICENTE GUERRERO,"1963-2010, 2012-2014",,VICENTE GUERRERO,DURANGO,PACIFICO NORTE,RÕO †SAN PEDRO-MEZQUITAL,RIO SUCHIL,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,23,44,16,103,58,47,1950,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO-MEZQUITAL",23.737778,-103.979722
10090,CANATLAN (DGE),"1963-2010, 2012-2014",,CANATLAN,DURANGO,PACIFICO NORTE,RÕO †LA SAUCEDA,RIO SAUCEDA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,24,31,5,104,47,0,2000,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO LA SAUCEDA",24.518056,-104.783333
10092,DURANGO (DGE),"1941-1960, 1970, 1972-1988, 1991, 1994-2000",,DURANGO,DURANGO,PACIFICO NORTE,RÕO †DURANGO,RIO DURANGO,CLIMATOLOGICA,CONAGUA-DGE,SUSPENDIDA,24,1,28,104,40,23,1900,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO DURANGO",24.024444,-104.673056
10098,RODEO (DGE),"1940, 1945-1960, 1963-1970, 1972-2009",,RODEO,DURANGO,CUENCAS CENTRALES DEL NORTE,AGUSTIN MELGAR,RIO NAZAS-RODEO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,11,0,104,33,45,1346,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO AGUSTIN MELGAR",25.183333,-104.5625
10100,SANTIAGO PAPASQUIARO (SMN),"1921-1932, 1934-2009",,SANTIAGO PAPASQUIARO,DURANGO,CUENCAS CENTRALES DEL NORTE,RÕO †RAMOS,RIO DE SANTIAGO,CLIMATOLOGICA,CONAGUA-SMN,OPERANDO,25,3,0,105,24,55,1740,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO RAMOS",25.05,-105.415278
10108,CIUDAD LERDO (DGE),1975-2013,,LERDO,DURANGO,CUENCAS CENTRALES DEL NORTE,CANAL SANTA ROSA,RIO NAZAS-CANAL SANTA ROSA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,32,46,103,31,19,1140,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO CANAL SANTA ROSA",25.546111,-103.521944
10149,GENERAL ESCOBEDO,1978-2009,,EL ORO,DURANGO,CUENCAS CENTRALES DEL NORTE,PRESA LAZARO CARDENAS,RIO SEXTIN,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,25,30,0,105,15,0,1580,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO PRESA LAZARO CARDENAS",25.5,-105.25
11001,ABASOLO,1949-2014,,ABASOLO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÕO †LERMA 5,RIO TURBIO-CORRALEJO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,26,48,101,32,11,1761,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO LERMA 5",20.446667,-101.536389
11002,ACAMBARO,"1937-1939, 1941-2015",,ACAMBARO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÕO †LERMA 4,RIO SOLIS-SALAMANCA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,1,57,100,42,44,1860,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO LERMA 4",20.0325,-100.712222
11003,AGUA TIBIA,1949-2014,,PENJAMO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÕO †LERMA 5,RIO TURBIO-CORRALEJO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,30,37,101,37,46,1720,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO LERMA 5",20.510278,-101.629444
11004,ALDAMA,"1949, 1951-2014",,IRAPUATO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÕO †LERMA 5,RIO GUANAJUATO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,49,1,101,19,8,1800,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO LERMA 5",20.816944,-101.318889
11005,APASEO,1961-2014,,APASEO EL GRANDE,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÕO †LA LAJA 2,RIO APASEO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,32,40,100,41,8,1773,"TENÕA ERR”NEO EL NOMBRE DE LA †CUENCA, SIENDO EL CORRECTO RIO LA LAJA 2",20.544444,-100.685556
