id_rh,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas,anio
28,Papaloapan,57355,1440.170000000000,48180.900000000000,,48180.900000000000,18,2015
29,Coatzacoalcos,30217,2211.230000000000,34700.200000000000,,34700.200000000000,15,2015
30,Grijalva-Usumacinta,102465,1703.110000000000,59297.400000000000,44080,103377.600000000000,83,2015
31,Yucatán Oeste,25443,1175.220000000000,706.800000000000,,706.800000000000,2,2015
32,Yucatán Norte,58135,1143.120000000000,0.000000000000,,0.000000000000,0,2015
33,Yucatán Este,38308,1210.340000000000,576.100000000000,864,1440.500000000000,1,2015
34,Cuencas Cerradas del Norte,90829,298.380000000000,1260.600000000000,,1260.600000000000,22,2015
35,Mapimí,62639,291.760000000000,568.400000000000,,568.400000000000,6,2015
36,Nazas-Aguanaval,93032,393.100000000000,2084.900000000000,,2084.900000000000,16,2015
37,El Salado,87801,392.580000000000,2876.200000000000,,2876.200000000000,8,2015
1,B.C. Noroeste,28492,208.980000000000,336.700000000000,,336.700000000000,16,2014
2,B.C. Centro-Oeste,44314,116.440000000000,251.000000000000,,251.000000000000,16,2014
3,B.C. Suroeste,29722,200.130000000000,361.600000000000,,361.600000000000,15,2014
4,B.C. Noreste,14418,150.630000000000,121.900000000000,,121.900000000000,8,2014
5,B.C. Centro-Este,13626,131.820000000000,100.900000000000,,100.900000000000,15,2014
6,B.C. Sureste,11558,290.660000000000,199.500000000000,,199.500000000000,14,2014
7,Río Colorado,6911,98.390000000000,77.900000000000,1850,1928.100000000000,4,2014
8,Sonora Norte,61429,297.050000000000,132.200000000000,,132.200000000000,5,2014
9,Sonora Sur,139370,482.690000000000,4934.300000000000,,4934.300000000000,16,2014
10,Sinaloa,103483,747.420000000000,14318.800000000000,,14318.800000000000,23,2014
11,Presidio-San Pedro,51717,819.020000000000,8200.600000000000,,8200.600000000000,23,2014
12,Lerma-Santiago,132916,717.120000000000,13179.700000000000,,13179.700000000000,58,2014
13,Río Huicicila,5225,1399.550000000000,1279.200000000000,,1279.200000000000,6,2014
14,Río Ameca,12255,1062.510000000000,2204.600000000000,,2204.600000000000,9,2014
15,Costa de Jalisco,12967,1143.540000000000,3606.400000000000,,3606.400000000000,11,2014
16,Armería-Coahuayana,17628,865.590000000000,3536.900000000000,,3536.900000000000,10,2014
17,Costa de Michoacán,9205,943.780000000000,1616.600000000000,,1616.600000000000,6,2014
18,Balsas,118268,947.020000000000,16805.300000000000,,16805.300000000000,15,2014
19,Costa Grande de Guerrero,12132,1214.640000000000,5113.400000000000,,5113.400000000000,28,2014
20,Costa Chica de Guerrero,39936,1281.770000000000,18170.300000000000,,18170.300000000000,32,2014
21,Costa de Oaxaca,10514,950.520000000000,2891.900000000000,,2891.900000000000,19,2014
22,Tehuantepec,16363,883.750000000000,2453.100000000000,,2453.100000000000,15,2014
23,Costa de Chiapas,12293,2220.310000000000,12617.300000000000,1586,14203.300000000000,25,2014
24,Bravo-Conchos,229740,399.330000000000,5587.700000000000,-432,5155.700000000000,37,2014
25,San Fernando-Soto la Marina,54961,702.570000000000,4863.700000000000,,4863.700000000000,45,2014
26,Pánuco,96989,854.870000000000,19672.900000000000,,19672.900000000000,77,2014
27,Norte de Veracruz (Tuxpan-Nautla),26592,1422.320000000000,14154.800000000000,,14154.800000000000,12,2014
28,Papaloapan,57355,1440.170000000000,48180.900000000000,,48180.900000000000,18,2014
29,Coatzacoalcos,30217,2211.230000000000,34700.200000000000,,34700.200000000000,15,2014
30,Grijalva-Usumacinta,102465,1703.110000000000,59297.400000000000,44080,103377.600000000000,83,2014
31,Yucatán Oeste,25443,1175.220000000000,706.800000000000,,706.800000000000,2,2014
32,Yucatán Norte,58135,1143.120000000000,0.000000000000,,0.000000000000,0,2014
33,Yucatán Este,38308,1210.340000000000,576.100000000000,864,1440.500000000000,1,2014
34,Cuencas Cerradas del Norte,90829,298.380000000000,1260.600000000000,,1260.600000000000,22,2014
35,Mapimí,62639,291.760000000000,568.400000000000,,568.400000000000,6,2014
36,Nazas-Aguanaval,93032,393.100000000000,2084.900000000000,,2084.900000000000,16,2014
37,El Salado,87801,392.580000000000,2876.200000000000,,2876.200000000000,8,2014
1,B.C. Noroeste,28492,208.980000000000,359.000000000000,,359.000000000000,16,2013
2,B.C. Centro-Oeste,44314,116.440000000000,250.960000000000,,250.960000000000,16,2013
3,B.C. Suroeste,29722,200.130000000000,361.560000000000,,361.560000000000,15,2013
4,B.C. Noreste,14418,150.630000000000,121.860000000000,,121.860000000000,8,2013
5,B.C. Centro-Este,13626,131.820000000000,100.930000000000,,100.930000000000,15,2013
6,B.C. Sureste,11558,290.660000000000,218.500000000000,,218.500000000000,14,2013
7,Río Colorado,6911,98.390000000000,77.900000000000,1850,1928.100000000000,4,2013
8,Sonora Norte,61429,297.050000000000,139.000000000000,,139.000000000000,5,2013
9,Sonora Sur,139370,482.690000000000,4934.500000000000,,4934.500000000000,16,2013
10,Sinaloa,103483,747.420000000000,14350.400000000000,,14350.400000000000,23,2013
11,Presidio-San Pedro,51717,819.020000000000,8299.200000000000,,8299.200000000000,23,2013
12,Lerma-Santiago,132916,717.120000000000,13210.800000000000,,13210.800000000000,58,2013
13,Río Huicicila,5225,1399.550000000000,1277.200000000000,,1277.200000000000,6,2013
14,Río Ameca,12255,1062.510000000000,2235.500000000000,,2235.500000000000,9,2013
15,Costa de Jalisco,12967,1143.540000000000,3683.800000000000,,3683.800000000000,11,2013
16,Armería-Coahuayana,17628,865.590000000000,3985.500000000000,,3985.500000000000,10,2013
17,Costa de Michoacán,9205,943.780000000000,1612.400000000000,,1612.400000000000,6,2013
18,Balsas,118268,947.020000000000,17056.500000000000,,17056.500000000000,15,2013
19,Costa Grande de Guerrero,12132,1214.640000000000,6090.700000000000,,6090.700000000000,28,2013
20,Costa Chica de Guerrero,39936,1281.770000000000,18713.600000000000,,18713.600000000000,32,2013
21,Costa de Oaxaca,10514,950.520000000000,3389.200000000000,,3389.200000000000,19,2013
22,Tehuantepec,16363,883.750000000000,2606.200000000000,,2606.200000000000,15,2013
23,Costa de Chiapas,12293,2220.310000000000,12617.300000000000,1586,14203.300000000000,25,2013
24,Bravo-Conchos,229740,399.330000000000,5587.700000000000,-432,5155.700000000000,37,2013
25,San Fernando-Soto la Marina,54961,702.570000000000,4841.680000000000,,4841.680000000000,45,2013
26,Pánuco,96989,854.870000000000,19672.900000000000,,19672.900000000000,77,2013
27,Norte de Veracruz (Tuxpan-Nautla),26592,1422.320000000000,14306.970000000000,,14306.970000000000,12,2013
28,Papaloapan,57355,1440.170000000000,48176.500000000000,,48176.500000000000,18,2013
29,Coatzacoalcos,30217,2211.230000000000,40068.010000000000,,40068.010000000000,15,2013
30,Grijalva-Usumacinta,102465,1703.110000000000,73315.800000000000,44080,117396.000000000000,83,2013
31,Yucatán Oeste,25443,1175.220000000000,706.800000000000,,706.800000000000,2,2013
32,Yucatán Norte,58135,1143.120000000000,0.000000000000,,0.000000000000,0,2013
33,Yucatán Este,38308,1210.340000000000,1108.800000000000,864,1973.200000000000,1,2013
34,Cuencas Cerradas del Norte,90829,298.380000000000,1701.300000000000,,1701.300000000000,22,2013
35,Mapimí,62639,291.760000000000,957.400000000000,,957.400000000000,6,2013
36,Nazas-Aguanaval,93032,393.100000000000,1911.600000000000,,1911.600000000000,16,2013
37,El Salado,87801,392.580000000000,2876.200000000000,,2876.200000000000,8,2013
1,B.C. Noroeste,28492,208.980000000000,359.000000000000,,359.000000000000,16,2012
2,B.C. Centro-Oeste,44314,116.440000000000,251.000000000000,,251.000000000000,16,2012
3,B.C. Suroeste,29722,200.130000000000,361.600000000000,,361.600000000000,15,2012
4,B.C. Noreste,14418,150.630000000000,121.900000000000,,121.900000000000,8,2012
5,B.C. Centro-Este,13626,131.820000000000,100.900000000000,,100.900000000000,15,2012
6,B.C. Sureste,11558,290.660000000000,218.500000000000,,218.500000000000,14,2012
7,Río Colorado,6911,98.390000000000,78.100000000000,1850,1928.300000000000,4,2012
8,Sonora Norte,61429,297.050000000000,132.200000000000,,132.200000000000,5,2012
9,Sonora Sur,139370,482.690000000000,4934.500000000000,,4934.500000000000,16,2012
10,Sinaloa,103483,747.420000000000,14350.400000000000,,14350.400000000000,23,2012
11,Presidio-San Pedro,51717,819.020000000000,8299.200000000000,,8299.200000000000,23,2012
12,Lerma-Santiago,132916,717.120000000000,13210.800000000000,,13210.800000000000,59,2012
13,Río Huicicila,5225,1399.550000000000,1277.200000000000,,1277.200000000000,6,2012
14,Río Ameca,12255,1062.510000000000,2235.500000000000,,2235.500000000000,9,2012
15,Costa de Jalisco,12967,1143.540000000000,3683.800000000000,,3683.800000000000,11,2012
16,Armería-Coahuayana,17628,865.590000000000,3985.500000000000,,3985.500000000000,10,2012
17,Costa de Michoacán,9205,943.780000000000,1612.400000000000,,1612.400000000000,6,2012
18,Balsas,118268,947.020000000000,17056.500000000000,,17056.500000000000,15,2012
19,Costa Grande de Guerrero,12132,1214.640000000000,6090.700000000000,,6090.700000000000,28,2012
20,Costa Chica de Guerrero,39936,1281.770000000000,18713.600000000000,,18713.600000000000,32,2012
21,Costa de Oaxaca,10514,950.520000000000,3389.200000000000,,3389.200000000000,19,2012
22,Tehuantepec,16363,883.750000000000,2606.200000000000,,2606.200000000000,15,2012
23,Costa de Chiapas,12293,2220.310000000000,12617.300000000000,1586,14203.300000000000,25,2012
24,Bravo-Conchos,229740,399.330000000000,5587.700000000000,-432,5155.700000000000,37,2012
25,San Fernando-Soto la Marina,54961,702.570000000000,4841.700000000000,,4841.700000000000,45,2012
