CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
1016,GANADERIA PE??UELAS,"1945-1972, 1976",,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO ENCARNACION,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,21,42,38,102,16,56,1850,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO ENCARNACION""",21.710556,-102.282222
1017,PRESA POTRERILLOS,1942-2015,,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,13,58,102,26,37,2171.9,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO""",22.232778,-102.443611
1018,PRESA PLUTARCO ELIAS CALLES,1933-2015,,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA CALLES,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,8,29,102,24,55,2053.1,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA CALLES""",22.141389,-102.415278
1019,PRESA JOCOQUE,1942-2015,,RINCON DE ROMOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,7,41,102,21,34,2006.2,"""TENÍA ERRÓNEO EL NOMBRE DE L MUNICIPIO, SIENDO EL CORRECTO RINCON DE ROMOS; TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO""",22.128056,-102.359444
1020,PRESA LA CODORNIZ,1963-2015,,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,59,48,102,40,27,1850.2,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1""",21.996667,-102.674167
1021,RANCHO VIEJO,1959-2015,,SAN JOSE DE GRACIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA CALLES,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,7,24,102,30,40,2126.6,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA CALLES""",22.123333,-102.511111
1022,SAN BARTOLO,"1949-2013, 2015",,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO ENCARNACION,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,44,53,102,10,13,1997.6,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO ENCARNACION""",21.748056,-102.170278
1023,CALVILLO (DGE),"1959-1967, 1969-2015",,CALVILLO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO JUCHIPILA 1,RIO CALVILLO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,50,12,102,42,42,1684.6,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO JUCHIPILA 1""",21.836667,-102.711667
1024,SAN ISIDRO,"1967-2013, 2015",,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO ENCARNACION,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,46,43,102,6,14,2004.4,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO ENCARNACION""",21.778611,-102.103889
1025,SAN FRANCISCO DE LOS ROMO (SMN),"1926-1932, 1941-1983",,SAN FRANCISCO DE LOS ROMO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,22,4,38,102,16,16,1880,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",22.077222,-102.271111
