id_rh,anio,vmae,vaeas,dma,p,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas
3,2015,286.613,13.780000000000001,246.483,245.3718457766738,B.C. Suroeste,29722,200.13,361.6,0,361.6,15
3,2016,288.279,16.26,243.191,243.3039757268969,B.C. Suroeste,29722,200,356.070204710457,0,356.070204710457,15
3,2017,288.279,16.26,243.191,243.3039757268969,B.C. Suroeste,29722,200,356.070204710457,0,356.070204710457,15
3,2018,288.279,16.26,243.191,243.3039757268969,B.C. Suroeste,29722,200.13,356.070204710457,0,356.070204710457,15
3,2019,288.279,16.26,243.191,243.3039757268969,B.C. Suroeste,29722,200,356.070204710457,0,356.070204710457,15
3,2020,311.97200000000004,16.61,264.168,266.2036687362907,NA,NA,NA,NA,0,NA,NA
3,2021,298.5321938496255,16.61,NA,252.9164631669231,NA,NA,NA,NA,0,NA,NA
3,2022,297.96790919211855,16.61,NA,252.35858560827052,NA,NA,NA,NA,0,NA,NA
3,2023,298.16692192295204,16.61,NA,252.55533867419416,NA,NA,NA,NA,0,NA,NA
4,2005,105.149,0.357,94.276,94.27901093475639,NA,NA,NA,NA,0,NA,NA
4,2006,105.149,0.357,94.276,94.27901093475639,B.C. Noreste,14418,203.5933402,105.1,0,105.1,0
4,2007,105.149,0.357,94.276,94.27901093475639,B.C. Noreste,14418,180.7413333,105.1,0,105.1,8
4,2008,105.149,0.357,94.276,94.27901093475639,B.C. Noreste,14418,190.35057505,105.1,0,105.1,8
4,2009,105.149,0.357,94.276,94.27901093475639,B.C. Noreste,14418,190,105.1,0,105.1,8
4,2010,105.149,0.357,94.276,94.27901093475639,B.C. Noreste,14418,190,105.149,0,105.149,8
4,2011,121.862,0.31908333333333333,109.395,109.36360642685769,B.C. Noreste,14418,150.63,122,0,122,8
4,2012,121.862,0.31908333333333333,109.395,109.36360642685769,B.C. Noreste,14418,150.63,121.9,0,121.9,8
4,2013,121.862,0.28,109.395,109.3985103640968,B.C. Noreste,14418,150.63,121.86,0,121.86,8
4,2014,121.862,0.28,109.395,109.3985103640968,B.C. Noreste,14418,150.63,121.9,0,121.9,8
4,2015,121.862,0.28,109.395,109.3985103640968,B.C. Noreste,14418,150.63,121.9,0,121.9,8
4,2016,122.27,0.313,109.732,109.73645976197457,B.C. Noreste,14418,151,122.271235789017,0,122.271235789017,8
4,2017,122.26999999999998,0.313,109.732,109.73645976197456,B.C. Noreste,14418,151,122.271235789017,0,122.271235789017,8
4,2018,122.27000000000001,0.313,109.732,109.73645976197459,B.C. Noreste,14418,150.63,122.271235789017,0,122.271235789017,8
4,2019,122.27,0.313,109.732,109.73645976197457,B.C. Noreste,14418,151,122.271235789017,0,122.271235789017,8
4,2020,139.882,0.309,125.584,125.60035139755647,NA,NA,NA,NA,0,NA,NA
4,2021,130.31728849858217,0.309,NA,116.98694126996087,NA,NA,NA,NA,0,NA,NA
4,2022,130.24321592092065,0.309,NA,116.92023591345196,NA,NA,NA,NA,0,NA,NA
4,2023,130.2656927051061,0.309,NA,116.94047716803763,NA,NA,NA,NA,0,NA,NA
5,2005,32.491,0.724,28.52,28.519668433439854,NA,NA,NA,NA,0,NA,NA
